"Author","BHL CreatorID","VIAF ID","Associated Title","DOI"
"Domm, L V","60719","","THE EFFECTS OF BILATERAL OVARIOTOMY IN THE BROWN LEGHORN FOWL","10.2307/1537133"
"Sandstrom, Carl J","55336","","RECIPROCAL CHORIO-ALLANTOIC TRANSPLANTS OF EMBRYONIC DUCK AND CHICK KIDNEY TISSUE","10.2307/1537310"
"Hahnert, William F","60527","172684621","STUDIES ON THE CHEMICAL NEEDS OF AMOEligBA PROTEUS: A CULTURE METHOD","10.2307/1537552"
"Bullock, Theodore Holmes","57886","12391306","THE FUNCTIONAL ORGANIZATION OF THE NERVOUS SYSTEM OF ENTEROPNEUSTA","10.2307/1537832"
"Carlson, Loren D","46678","23770310","ENZYMES IN ONTOGENESIS (ORTHOPTERA): XVIII. ESTERASES IN THE GRASSHOPPER EGG","10.2307/1537911"
"Lee, Richard E","57414","","THE HYPOPHYSIS OF THE BROAD-BILLED SWORDFISH, XIPHIAS GLADIUS L","10.2307/1537986"
"Morgan, T H","51820","66545024","DO SPERMATOZOA PENETRATE THE MEMBRANE OF SELF-INSEMINATED EGGS OF CIONA AND STYELA?","10.2307/1537991"
"Goldberg, Edward D","49514","56712133","IRON ASSIMILATION BY MARINE DIATOMS","10.2307/1538372"
"Bliss, Dorothy E","45600","93558598","ENDOCRINE CONTROL OF METABOLISM IN THE LAND CRAB, GECARCINUS LATERALIS (FREMINVILLE). I DIFFERENCES IN THE RESPIRATORY METABOLISM OF SINUSGLANDLESS AND EYESTALKLESS CRABS","10.2307/1538483"
"Sealander, John A","59858","21239821","BODY TEMPERATURES OF WHITE-FOOTED MICE IN RELATION TO ENVIRONMENTAL TEMPERATURE AND HEAT AND COLD STRESS","10.2307/1538694"
"Dean, David","47780","","ON THE REPRODUCTION AND LARVAL DEVELOPMENT OF STREBLOSPIO BENEDICTI WEBSTER","10.2307/1539390"
"Stross, Raymond G","57311","","PHOTOPERIOD CONTROL OF DIAPAUSE IN DAPHNIA. II. INDUCTION OF WINTER DIAPAUSE IN THE ARCTIC","10.2307/1539819"
"Spight, Tom M","51059","60728405","THE WATER ECONOMY OF SALAMANDERS: EXCHANGE OF WATER WITH THE SOIL","10.2307/1539882"
"Nash, Donald J","52830","","LIFETIME REPRODUCTIVE PERFORMANCE OF MICE EXPOSED AS EMBRYOS TO X-IRRADIATION","10.2307/1539942"
"Sherman, R G","58978","104094371","MUSCLE ATTACHMENTS IN HORSESHOE CRAB WALKING LEGS","10.2307/1540400"
"Stephens, Philip J","49288","267050041","THE EFFECTS OF TEMPERATURE AND ACCLIMATION ON CRUSTACEAN NERVE-MUSCLE PHYSIOLOGY","10.2307/1541390"
"Levinton, Jeffrey S","60301","233326897","THE LATITUDINAL COMPENSATION HYPOTHESIS: GROWTH DATA AND A MODEL OF LATITUDINAL GROWTH DIFFERENTIATION BASED UPON ENERGY BUDGETS. I. INTERSPECIFIC COMPARISON OF OPHRYOTROCHA (POLYCHAETA: DORVILLEIDAE)","10.2307/1541471"
"Buckland-Nicks, J","50902","78388290","Unisex Flash Controls in Dialog Fireflies","10.2307/1541742"
"Suprenant, K A","56127","","Particulate Tubulin in Interphase and Metaphase Extracts of Oocytes of Spisula","10.2307/1542207"
"Santagata, Scott","59964","","A Waterborne Behavioral Cue for the Actinotroch Larva of Phoronis pallida (Phoronida) Produced by Upogebia pugettensis (Decapoda: Thalassinidea)","10.2307/1543585"
"Mackenzie, Kenneth K","133016","240711805","Proper Use of the Name Filix","10.2307/1544000"
"Hall, Carlotta C ","218103","","Notholaena Copelandii, a Newly Recognized Species of the Texano- Mexican Region","10.2307/1545292"
"Boivin, Bernard","133108","105874107","Two Variations of Pteridium aquilinum","10.2307/1545440"
"Hawkes, Alex D ","179385","116454148","Asplenium serratum in South Florida","10.2307/1545940"
"Stolze, Robert G ","210844","23527313","The Identity of Polypodium subscabrum Klotzsch","10.2307/1547546"
"Brues, Charles T.","2004","38304378","Some new fossil parasitic Hymenoptera from Baltic amber","10.2307/20025999"
"Roush, Eva M Fling","55353","","A Monograph of the Genus Sidalcea","10.2307/2394088"
"Anderson, Edgar","46546","6440526","Experimental Studies of the Species Concept","10.2307/2395126"
"Pipkin, Sarah Bedichek","54201","","Cytological Evidence of Introgression Between Drosophila Species in Panama","10.2307/2395152"
"Wunderlin, Richard P","56545","211879625","A New Species of Bauhinia (Leguminosae) from Peru","10.2307/2395344"
"Soderstrom, Thomas R","54671","113583277","Some Evolutionary Trends in the Bambusoideae (Poaceae)","10.2307/2398809"
"Goldblatt, Peter","45164","44336060","Chromosome Numbers in Legumes II","10.2307/2398889"
"Sytsma, Kenneth J","54635","34611500","Taxonomic Revision of the Central American Lisianthius skinneri Species Complex (Gentianaceae)","10.2307/2399302"
"Cook, Christopher D K","60771","19934137","Wind Pollination in Aquatic Angiosperms","10.2307/2399365"
"Al-Shehbaz, Ihsan A.","47128","49204861","Sisymbrium llatasii and S. morrisonii (Brassicaceae), New Species from Costal Peru","10.2307/2399641"
"Almeda, Frank","46213","77579516","Chromosomal Observations on the Alzateaceae (Myrtales)","10.2307/2400006"
"Grossenbacher, J G","48713","","Medullary spots and their cause","10.2307/2479652"
"Burt, Edward Angus","48636","72904005","Some North American Tremellaceae, Dacryomycetaceae, and Auriculariaceae","10.2307/2989988"
"Dunlop, D A","57868","","Taxonomic changes in Carex (Section Scirpinae, Cyperaceae)","10.2307/3391763"
"Engel, J J","46186","91395141","Austral Hepaticae. 26. The identity, taxonomic position, and ecology of Trichocolea julacea Hatcher (Trichocoleaceae)","10.2307/3392111"
"Sclater, Philip Lutley,","11086","44414898","Sclater and Hudson's 'Argentine Ornithology'","10.2307/4067167"
"Loomis, Leverett M","83373","","Observations on Some of the Summer Birds of the Mountain Portions of Pickens County, South Carolina Concluded","10.2307/4067512"
"Brewster, William,","11871","70987792","Summer Robin Roosts","10.2307/4067557"
"Sharpe, R Bowdler","66141","54295317","Sharpe on the Zoögeographical Areas of the World","10.2307/4067632"
"Dutcher, William","83370","6998536","In Re Dutcher on the Labrador Duck","10.2307/4067684"
"Cherrie, George K","51392","81526785","A Preliminary List of the Birds of San Jos, Costa Rica (Continued)","10.2307/4067776"
"Cory, Charles B","83160","88752385","Notes on West Indian Birds","10.2307/4068032"
"Goss, N S","83368","23433465","Goss's 'History of the Birds of Kansas'","10.2307/4068084"
"Keeler, Charles A","83603","2841903","Keeler on the 'Evolution of the Colors of North American Land Birds'","10.2307/4068112"
"Merriam, C Hart","61119","24717997","Ornithology of the Death Valley Expedition","10.2307/4068175"
"Coues , Elliott","82670","103652089","Notes on Generic Names of Certain Swallows","10.2307/4068392"
"Barbour, Erwin H","83601","39055534","The Occurrence in Nebraska of Vireo flavoviridis","10.2307/4068818"
"Coues , Elliott","82670","103652089","Merrem's Work","10.2307/4068821"
"Cooke, W W","45687","160243697","The Summer Range of Colorado Birds","10.2307/4068834"
"Dawson, William Leon","83385","50007943","A Preliminary List of the Birds of Okanogan. County, Washington","10.2307/4068880"
"Price, William W","83482","31160243","Description of a New Pine Grosbeak from California","10.2307/4068881"
"Palmer, William","66323","304990196","The Wood Ibis in Virginia and Maryland","10.2307/4068893"
"Coues , Elliott","82670","103652089","Note on Elanus glaucus","10.2307/4068901"
"Coues , Elliott","82670","103652089","The Most General Fault of the A. O. U. Check-List","10.2307/4068918"
"Richmond, Charles W","48085","1562","Descriptions of Three New Birds from the Island of Margarita, Venezuela","10.2307/4068946"
"Coues , Elliott","82670","103652089","Date of Discovery and Type Locality of the Mountain Mockingbird","10.2307/4069084"
"Townsend, Charles Wendell,","15642","65526394","The Occurrence of the Lapland Longspur (Calcarius lapponicus) in Mid-Winter in Massachusetts","10.2307/4069323"
"Thayer, Gerald Handerson,","41177","292102089","The Chuck-Will's-Widow on Shipboard","10.2307/4069462"
"Riley, J H","45267","17604001","The Authority for the Name Geotrygon Chrysia","10.2307/4069606"
"Dwight","83202","","Dwight's 'Sequence of Plumages and Moults of the Passerine Birds of New York'","10.2307/4069697"
"Bishop, Louis B","83235","104471694","The Gray Sea Eagle (Haliæetus albicilla) in British Columbia","10.2307/4069883"
"Stone, Witmer.","1413","63136030","Stone on Birds and Mammals from Mt. Sanhedrin, California","10.2307/4069908"
"Taverner, P. A.","12054","47126498","Another Abnormal Bill","10.2307/4070057"
"Stockard, Charles R","53055","33035867","Nesting Habits of Birds in Mississippi (Concluded)","10.2307/4070160"
"Bryant, Owen","83476","","Dates of Nesting of Bermuda Birds","10.2307/4070213"
"Fleming, James H.","43429","26051836","Birds of Toronto, Canada. Part II, Land Birds","10.2307/4070340"
"Osgood, Wilfred H","44777","49611823","Probable Breeding of the Wandering Tatler in the Interior of Alaska","10.2307/4070389"
"Cole, Leon J","52341","278565152","Carolina Wren in Rhode Island","10.2307/4070488"
"Dyche, L L","83213","104488699","The Red Phalarope (Crymophilus fulicarius), a New Bird for the Kansas List","10.2307/4070758"
"Thayer, Abbott H","60724","55043769","Concealing-Coloration: A Demand for Investigation of My Tests of the Effacive Power of Patterns","10.2307/4071164"
"Phillips, John C","83116","47150149","Bird Migration from the Standpoint of Its Periodic Accuracy","10.2307/4071544"
"Scharff, Robert Francis","83587","13076267","Scharff's 'Distribution and Origin of Life in America'","10.2307/4071583"
"Thayer, John Eliot,","36238","","The Coahuila Cliff Swallow (Petrochelidon fulva pallida) in Texas","10.2307/4071968"
"Palmer, T S","50601","54263647","Introduction of the Ruffed Grouse on Washington Island, Wis","10.2307/4072066"
"Craig, Wallace","83246","","Method of Recording Bird Music, with a Correction","10.2307/4072078"
"Lincoln, F C","54473","70219801","Lincoln's 'The Birds of Yuma County, Colorado'","10.2307/4072192"
"Bowles, J Hooper","83343","","Notes on the Kennicott's Screech Owl (Otus asio kennicotti) in the Puget Sound Region","10.2307/4072270"
"Beebe, William","83170","61605316","Tropical Wild Life in British Guiana","10.2307/4072400"
"Murphy, Robert Cushman,","10016","33344678","Murphy on 'The Penguins of South Georgia'","10.2307/4072611"
"Goelitz, Walter A","83645","","The Destruction of Nests by Farming Operations in Saskatchewan","10.2307/4072879"
"Oberholser, Harry C","46464","12684010","The Status of Charadrius rubricollis Gmelin","10.2307/4073058"
"White, S A","83198","","Captain S. A. White's Explorations in Australia","10.2307/4073405"
"Seebohm, Henry,","6486","50008570","Seebohm's History of British Birds","10.2307/4625178"
"Hughes, L E","221554","313095343","Parelasmopus poorei a New Species of Maeridae (Crustacea: Amphipoda) from Southern Australia","10.24199/j.mmv.2009.66.9"
"Mauz, Kathryn","166607","76047219","The Type of Carex scirpoidea VAR. Gigas (Cyperaceae)","10.3120/0024-9637-56.4.279"
"Boland, John M ","178588","1787598","Secondary Dispersal Of Willow Seeds: Sailing On Water Into Safe Sites","10.3120/0024-9637-61.4.388"
"Zika, Peter F","133397","106833245","California","10.3120/0024-9637(2005)52[208:c]2.0.co;2"
"Gómez-Sosa, E","54116","","Astragalus darwinianus (Leguminosae, Galegeae), a new species from Argentina","10.3417/1055-3177(2007)17[179:ADLGAN]2.0.CO;2"
"Pool, A","46263","","New species of Stachys (Lamiaceae) from Mesoamerica","10.3417/1055-3177(2007)17[60:NSOSLF]2.0.CO;2"
"Rohwer, Jens G","57528","34556559","Nectandra ovatocaudata , a New Species of Lauraceae from Cajamarca, Peru","10.3417/2011099"
"Ramsay, E P","51361","43415183","On a new species of Petaurides from the Bellenden-Ker Range, N.E. Queensland","10.3853/j.0067-1975.1.1890.1231"
"Rainbow, W J","46551","94932197","Trapdoor spiders of the Chevert Expedition","10.3853/j.0067-1975.13.1920.857"
"Acevedo-Rodr_guez, Pedro","56947","","Alatococcus, a new genus of Sapindaceae from Espirito Santo, Brazil","10.3897/phytokeys.10.2718"
"Editors of Subterranean biology.","96841","","New taxa described in this volume","10.3897/subtbiol.9.2517"
"Davidson, Robert","92383","","Preface","10.3897/zookeys.147.2118"
"Kim, Young-Hyo","92758","","Sinocorophium hangangense sp. n. (Crustacea, Amphipoda, Corophiidae), a new species from Korea, with a key to the genus Sinocorophium","10.3897/zookeys.181.3043"
"Bocak, Ladislav","93152","250184753","A revision of the Cautires obsoletus species group from Java (Coleoptera, Lycidae)","10.3897/zookeys.241.3089"
"Bousquet, Yves","62988","106122799","Rediscovery of Clivina morio Dejean with the description of Leucocara,  a new subgenus of Clivina Latreille (Coleoptera, Carabidae, Clivinini)","10.3897/zookeys.25.276"
"Herrera-Flórez, Andrés","125359","","A new species of Grotea Cresson (Hymenoptera, Ichneumonidae, Labeninae) from Colombia","10.3897/zookeys.389.6066"
"Harrington, W H","54673","","Canadian Hymenoptera, No. 7","10.4039/Ent2875-3"
"Hulst, Geo D","48029","","SOME NEW GENERA AND SPECIES OF PHYCITIN_","10.4039/ent32169-6"
"Rehn, J A G","44748","48781756","Notes on some southern Californian Orthoptera","10.4039/Ent34141-6"
"Ludlow, C S","44693","","MOSQUITO NOTES","10.4039/ent36233-8"
"Aldrich, John Merton,","1937","69320287","The genus Psilopus of authors","10.4039/Ent36246-8"
"Ashmead, William H.","44692","5308099","A new genus and some new species of Hymenoptera from the Philippine islands","10.4039/Ent36281-10"
"Ashmead, William H","47413","5308099","CLASSIFICATION OF THE FOSSORIAL, PREDACEOUS AND PARASITIC WASPS, OR THE SUPERFAMILY VESPOIDEA","10.4039/ent365-1"
"Ludlow, C S","44693","","MOSQUITO NOTES. No. 5","10.4039/ent38367-11"
"Cockerell, Theodore D. A.","1941","32780347","Three DIptera from the Miocene of Colorado","10.4039/Ent46101-3"
"Davis, John J.","163448","","Miscellaneous Aphid notes 1","10.4039/Ent51228-10"
"Stent, Sydney M ","177158","265754932","SOUTH AFRICAN GRAMINEAE. a new genus and seven new species","10.4102/abc.v1i3.1782"
"Kreuels, Martin","183131","200089997","Arbeitskreis ""Ethologie und Ökologie von Spinnen""","10.5431/aramit1014"
"Merkens, Sabine","183300","900695","R. Nitzsche: Das Brautgeschenk der Spinne Pisaura mirabilis (Clerck, 1757) (Pisauridae)","10.5431/aramit2108"
"Bauchhenß, Elisabeth","183117","22669222","Theo Blick - ein Mann der ersten Stunde","10.5431/aramit2901"
"Jäger, Peter","124905","3367212","Janet Beccaloni (2009): Arachnids","10.5431/aramit3808"
"Lynch, James E","47087","112773095","The Fairy Shrimp Brachinecta campestris from Northwestern United States (Crustacea: Phyllopoda)","10.5479/si.00963801.112-3447.549"
"Flint, Oliver S","62401","33305555","Larvae of the Caddisfly Genus Rhyacophila in Eastern North America (Trichoptera: Rhyacophilidae)","10.5479/si.00963801.113-3464.465"
"Simpson, Charles Torrey,","1137","49361535","Description of four new Triassic Unios from the Staked Plains of Texas","10.5479/si.00963801.18-1072.381"
"Hyslop, J A","54260","","Genotypes of the elaterid beetles of the world","10.5479/si.00963801.2353.621"
"Miller, Gerrit S","45374","69005583","Notes on Malayan pigs","10.5479/si.00963801.30-1466.737"
"Schuchert, Charles","50454","39449355","A new American pentremite","10.5479/si.00963801.30-1467.759"
"Sturtevant, A H","54257","9928196","Nearctic flies of the family Periscelidae (Diptera) and certain Anthomyzidae referred to the family","10.5479/si.00963801.3332.551"
"Cook, O F","48075","89036420","New tropical millipeds of the order Merocheta, with an example of kinetic evolution","10.5479/si.00963801.40-1831.451"
"Richardson, Harriet","45372","54527546","Descriptions of two new isopods, an Apseudes and a Munnopsis, both from the Galapagos islands","10.5479/si.00963801.43-1926.159"
"Osburn, Raymond C","51737","89303705","Bryozoa from Labrador, Newfoundland, and Nova Scotia, collected by Dr.Owen Bryant","10.5479/si.00963801.43-1933.275"
"Hay, Oliver Perry,","2537","24662505","The extinct bisons of North America, with description of one new species, Bison regius","10.5479/si.00963801.46-2021.161"
"Merrill, George P.","12904","30299489","The Fisher, Polk County, Minnesota, meteorite","10.5479/si.00963801.48-2084.503"
"Weld, Lewis H","48099","45815470","American gallflies of the family Cynipidae producing subterranean galls onoak","10.5479/si.00963801.59-2368.187"
"Casanowicz, Immanuel M.","45109","66846404","Descriptive catalogue of the collection of Buddhist art in the United States National Museum","10.5479/si.00963801.59-2371.291"
"Marsh, C D","45261","49588548","A synopsis of the species of Boeckella and Pseudoboeckella with a key to the genera of the fresh-water Centropagidae","10.5479/si.00963801.64-2498.1"
"Shannon, Earl V","45271","2847994","Benjaminite, a new sulphosalt mineral of the klaprotholite group","10.5479/si.00963801.65-2537.1"
"Ewing, H E","47821","59333156","Revision of the American leafhoppers of the Jassid genus Typhlocyba","10.5479/si.00963801.68-2620.1"
"True, Frederick William,","2087","14847901","Description of Geomys personatus and Dipodomys compactus, two new species of rodents from Padre Island, Texas","10.5479/si.00963801.699.159"
"Van Duzee, M. C.","44756","74232177","Tropical American Diptera or two-winged flies of the family Dolichopodidae from Central and South America","10.5479/si.00963801.74-2755.1"
"Bean, Tarleton H.","1347","32087533","Description of a new species of Pempheris (Pempheris poeyi) from Cuba","10.5479/si.00963801.8-516.229"
"Gilmore, Charles W","45384","51778659","Descriptions of new and little-known fossil lizards from North America","10.5479/si.00963801.86-3042.11"
"Stejneger, Leonhard,","1343","49297479","Notes on some North American snakes","10.5479/si.00963801.876.501"
"Fraser, C M","56092","","Seven new species and one new genus of hydroids, mostly from the Atlantic Ocean","10.5479/si.00963801.88-3090.575"
"Mazyck, William G","60380","68721171","A new land shell from California, with note on Selenites duranti, Newcomb","10.5479/si.00963801.9-584.460"
"Chandler, Asa C","66449","73495562","Some cestodes from Florida sharks","10.5479/si.00963801.92-3135.25"
"Jordan, David Starr,","1108","71453279","Notes on a collection of fishes obtained in the streams of Guanajuato and in Chapala Lake, Mexico, by Prof. A. DugԳ","10.5479/si.00963801.94.298"
"Schultz, Leonard P","47755","113292117","A revision of the genera of mullets, fishes of the family Mugilidae, with descriptions of three new genera","10.5479/si.00963801.96-3204.377"
"Taylor, E H","44867","","Support for Dr. Laurence M. Klauber's proposals for the use of the plenary powers to validate the trivial names atrox Baird & Girard, 1853, as published in the combination Crotalus atrox and polysticta Cope, 1865, as published in the combination","10.5962/bhl.part.10256"
"Forcart, L","46561","25359229","Proposed validation, under the plenary powers, of the generic name Helicella Ferussac, 1821","10.5962/bhl.part.10274"
"Paepke, H J","44228","","On the proposed conservation of the names Labrus Linnaeus, 1758, Cichlasoma Swainson, 1839 and Polycentrus Mueller & Troschel, 1849 by the designation of neotypes for Labrus bimaculatus Linnaeus, 1758 and L. punctatus Linnaeus, 1758 (Osteichthyes, Perciformes)","10.5962/bhl.part.107"
"Weber, W A","46729","","Additions to the Flora of Colorado - XII","10.5962/bhl.part.11258"
"Oudemans, A C","44810","67247802","Aanteekeningen over Suctoria XV","10.5962/bhl.part.1133"
"Czizek, Karl","50944","103107587","Das Weibchen von Pipunculus elephas BECK","10.5962/bhl.part.11643"
"Klauber, L M","50548","","New and renamed subspecies of Crotalus confluentus Say, with remarks on related species","10.5962/bhl.part.11694"
"Utinomi, H","51490","58149294110780520929","A Revision of the Genera Nidalia and Bellonella with an Emendation of Nomenclature and Taxonomic Definitions for the Family Nidaliidae (Octocorallia, Alcyonacea)","10.5962/bhl.part.11720"
"Matschie, Paul","51508","5693353","Eine Art der Gattung Pteropus von der Insel Pemba","10.5962/bhl.part.11762"
"Al-Shehbaz, Ihsan A.","47128","49204861","The genera of Alysseae (Cruciferae; Brassicaceae) in the southeastern United States","10.5962/bhl.part.11932"
"Williams, L O","46875","","Tropical American plants, XVIII","10.5962/bhl.part.12126"
"Green, E E","45074","","On some new species of Coccidae from Australia, collected by W. W. Froggatt, F.L.S","10.5962/bhl.part.12174"
"Waterston, James","50406","92475645","On a new species of Docophoroides Giglioli (Eurymetopus Tasch.) from an albatross (Diomedea melanophrys)","10.5962/bhl.part.12297"
"Brazier, J","49896","","Continuation of the Mollusca of the Chevert Expedition","10.5962/bhl.part.12422"
"Roman, A","44779","","Notizen zur Schlupfwespensammlug des Schwedischen Reichsmuseums","10.5962/bhl.part.13757"
"Schenkel, E","62458","56669706","Kleine Beiträge zur Spinnenkunde","10.5962/bhl.part.145993"
"Beach, A M","53026","","Contributions to a knowledge of the Thripidae of Iowa","10.5962/bhl.part.14877"
"Michaelsen, W","45318","62315480","Oligochäten aus dem Naturhistorischen Reichsmuseum zu Stockholm","10.5962/bhl.part.1498"
"Bennett, K H","51365","","Note on the breeding of the glossy ibis, Falcinellus igneus (Ibis falcinellus, Linn.)","10.5962/bhl.part.15078"
"Fooden, J","46709","","Macaca fuscata (Blyth, 1875): proposed conservation as the name for the Japanese macaque (Mammalia). Z.N.(S.) 1802","10.5962/bhl.part.15410"
"Collin, J E","53281","164431626","The British species of the sylvaticus-group of Pipunculus (Diptera)","10.5962/bhl.part.15531"
"Taylor, E H","44867","291518415","Additions to the known herpetological fauna of Costa Rica with comments on other species. No. II","10.5962/bhl.part.1591"
"Neal, G M","53450","","Application for the stabilisation of the name for the genus of the class Rotifera formerly known as Pedalion Hudson, 1871, or Pedalia Barrois, 1878, including a request for the use of the plenary powers to vary the type species of the genus Hexarthra Sch","10.5962/bhl.part.15989"
"Hemming, Francis.","36907","60500435","On the question whether it is desirable that words should be added to the ""Regies"" expressly providing that for the purposes of establishing a condition of secondary homonymy between two specific names it is not necessary that an author should expressly","10.5962/bhl.part.16001"
"Bigelow, R P","53469","107773130","Support for the proposals relating to the generic names ""Lysiosquilla"" Dana, 1852, and ""Odontodactylus"" Bigolow, 1893 (Class Crustacea, Order Stomatopoda) submitted by Dr. L. B. Holthuis","10.5962/bhl.part.16035"
"Ragge, D R","53541","56780757","A revision of the genus Ducetia Stl (Orthoptera: Tettigoniidae)","10.5962/bhl.part.16261"
"Croat, T B","46275","","Notes on Sapindaceae. I. New species of Serjania from Central America and Mexico","10.5962/bhl.part.16785"
"Gould, A","46480","","Monograph of the species of Pupa found in the United States","10.5962/bhl.part.16997"
"Jordan, Karl,","8827","","A contribution to the taxonomy of Stenoponia J. & R. (1911), a genus of Palaearctic and Nearctic fleas","10.5962/bhl.part.17107"
"Meyrick, Edward,","7895","92187509","An Australian species of Micropterygidae","10.5962/bhl.part.17211"
"Röder, Victor Eduard V","52249","","Analytische Tabelle der Hemerodrominae mit Einschluss der Gattung Synamphotera LW","10.5962/bhl.part.17749"
"Reitter, Edmund,","7561","3250739","Zwei neue Silphiden","10.5962/bhl.part.17803"
"Jackson, Patrick N Wyse","45198","10100958","Ascopora Trautschold, 1876 (Bryozoa, Cryptostomata): Proposed Designation Of Ceriopora Nodosa Fischer Von Waldheim, 1837 As The Type Species","10.5962/bhl.part.1781"
"Haviland, E","54264","","Some remarks on the fertilization of the genus Goodenia","10.5962/bhl.part.17920"
"Olliff, A S","51364","","Remarks on Australian Ptinidae and descriptions of new genera and species","10.5962/bhl.part.17966"
"Eigenmann, C H","45391","51840739","Trogloglanis pattersoni a new blind fish from San Antonio, Texas","10.5962/bhl.part.18423"
"Ferguson, E W","52457","93853927","Revision of the Amycterides. Part iv. Sclerorinus [Section ii.]. [Coleoptera]","10.5962/bhl.part.18893"
"Lundell, Cyrus Longworth,","1077","29522140","Two new species of Plenckia","10.5962/bhl.part.19000"
"Tillyard, R J","44987","111099009","On the genus Petalura, with description of a new species","10.5962/bhl.part.19584"
"Reitter, Edmund,","7561","3250739","Begegnung auf obige Bemerkungen des Herrn A. FAUVEL","10.5962/bhl.part.20559"
"Mik, Josef","46309","35390714","Dipterologische Miscellen","10.5962/bhl.part.20566"
"Gilbert, C R","48422","","On the proposed conservation of the specific name of Hybognathus stramineus Cope, 1865 (currently Notropis stramineus; Osteichthyes, Cypriniformes)","10.5962/bhl.part.20716"
"Cameron, P","45033","","A synopsis of the central American species of Joppa, with diagnoses of new species","10.5962/bhl.part.22006"
"Cockerell, Theodore D. A.","1941","32780347","A new genus of Australian bees","10.5962/bhl.part.22059"
"Ducke, A","55892","40734411","Les espԣes de |Polistomorpha| Westw","10.5962/bhl.part.22260"
"Esben-Petersen, T","55919","","New species of neuropterous insects from South Africa (Ephemerida, Megaloptera, and Embiidina)","10.5962/bhl.part.22321"
"Watts, W W","45566","","The ferns of Lord Howe Island","10.5962/bhl.part.22351"
"Tenison-Woods, J E","50584","55932513","On a new species of Allopora","10.5962/bhl.part.22747"
"Joannis, J De","56644","","Lépidoptères et Névroptères recueillis par le Dr. Landrieu à l'île de Lesbos (Mytilène)","10.5962/bhl.part.24185"
"Turner, B. L.","5039","85249975","Submergence of the genera Asanthus and Dyscritogyne within Steviopsis (Asteraceae, Eupatorieae), including new combinations","10.5962/bhl.part.24330"
"Maiden, J H","45569","10242002","A giant Acacia from the Brunswick River","10.5962/bhl.part.24349"
"Hamilton, A G","45565","","Notes on the methods of fertilisation of the Goodeniaceae. Part II","10.5962/bhl.part.24351"
"Muir, F.","47573","","On some Derbidae from Formosa and Japan","10.5962/bhl.part.24593"
"Lea, A M","45579","","Australian and Tasmanian Pselaphidae","10.5962/bhl.part.25557"
"Aldrich, John Merton,","1937","69320287","New genera and species of Psilopinae","10.5962/bhl.part.25907"
"Schuster, Adrian","45883","","Neue paläarktische Tenebrioniden (Coleopt.)","10.5962/bhl.part.2602"
"Lucas, T P","53087","91997456","On twenty new species of Australian Lepidoptera","10.5962/bhl.part.26050"
"Strobl, G","57490","17333843","Die Anthomyinen Steiermarks. (Mit Berücksichtigung der Nachbarländer.)","10.5962/bhl.part.26130"
"Andrews, E C","52458","67335059","Notes on the geography of the Blue Mountains and Sydney district","10.5962/bhl.part.26364"
"Cameron, P","45033","","Description of a new species of Apanteles from Ceylon","10.5962/bhl.part.26462"
"Harvey, M S","44227","48346420","Mirochernes Beier 1930 Arachnida Pseudoscorpionida Proposed Confirmation Of Chelanops dentatus Banks 1895 As The Type Species","10.5962/bhl.part.2647"
"Reuter, Odo Morannal","45530","6048655","Anteckningar om finska Heteroptera","10.5962/bhl.part.26727"
"Barringer, Kerry","45990","172186343","Reinstatement of the genus Sanango Bunting & Duke (Buddlejaceae)","10.5962/bhl.part.2770"
"Sintenis, Franz","55064","20457387","Ueber Opomyza punctella FALL","10.5962/bhl.part.27716"
"Zoufal, Vladimir","47878","83976423","Uebersicht der Arten der Coleopterengattung Gnorimus SERV. aus Europa und den angrenzenden Ländern","10.5962/bhl.part.27721"
"Goldblatt, P","53691","44336060","Chromosome number and its significance in Batis maritima (Bataceae)","10.5962/bhl.part.28168"
"Cuatrecasas, J","45864","110584553","Miscellaneous notes on neotropical flora, XI","10.5962/bhl.part.28281"
"Robinson, Harold Ernest,","156597","119808050","A new species of Philonotis from Bolivia. (Musci: Bartramiaceae)","10.5962/bhl.part.28294"
"Hemming, Francis.","36907","60500435","Second report on the status of the generic names ""Odobenus"" Brisson, 1762, and ""Rosmarus"" Brunnich, 1771 (Class Mammalia) (A report prepared at the request of the Thirteenth International Congress of Zoology, Paris, 1948)","10.5962/bhl.part.2842"
"Arkell, W J","45253","71688051","Designation of a type genus for the nominal order ""Ammonoidea"" Zittel, 1884, and proposed addition of that name to the ""Official list of names in the Order/Class group in Zoology.""","10.5962/bhl.part.2843"
"Speiser, P","45027","101174268","Ueber die Strebliden, Fledermausparasiten aus der Gruppe der pupiparen Dipteren","10.5962/bhl.part.29034"
"Stephens, W J","53086","290262161","President's Address","10.5962/bhl.part.29233"
"Temple, J T","56572","51698419","Comments on the proposed designation aof a type-species for the genus Sphaerocoryphe Angelin, 1854. Z.N.(S.) 1152","10.5962/bhl.part.29604"
"Brazier, J","49896","","On the synonymy of Helix (Hadra) gulosa, Gould","10.5962/bhl.part.29895"
"Gould, A A","46479","","New species of Helix from the shells of the Exploring Expedition","10.5962/bhl.part.3319"
"Hartmann, Karl Friedrich","46533","24861745","Eine neue Gattung der Oxyopisthinen und eine neue Art der Gattung Oxyopisthen (Col.)","10.5962/bhl.part.3443"
"Tovar, O","47324","60819266","Two new species of Stipa from Peru","10.5962/bhl.part.4466"
